input,output
a toddler refusing to put on shoes,when studying turns into an unplanned nap
a laptop with 1 percent battery,when a seagull steals ur lunch mid-bite
a man looking at his phone,when u say one more episode but its 4 am
a dog covered in mud,when the squad assembles for gaming
a car stuck in traffic,when a cat decides gravity is fake
a student looking at a failed test,when coffee betrays u first thing in the morning
a group of kids playing video games,when a cat decides gravity is fake
a toddler covered in marker drawings,when ur laptop becomes a sticker museum
a person running for the bus,when putting on shoes turns into a full negotiation
a plate with a single french fry,when a cat fits it sits
a chair with a missing leg,when coffee betrays u first thing in the morning
a teenager sleeping in class,when putting on shoes turns into a full negotiation
a cat knocking over a glass,when coffee betrays u first thing in the morning
a dog covered in mud,when the squad assembles for gaming
a toddler covered in marker drawings,when u prove physics wrong carrying groceries
a baby sleeping in a weird position,when a toddler discovers permanent markers
a long receipt from a grocery store,when coffee betrays u first thing in the morning
a toddler covered in marker drawings,when a cat discovers a red dot
a kid making a funny face,when ur cat decides books are beds
a person looking at an empty fridge,when ur printer hates u
a chair with a missing leg,when ur cat decides books are beds
a chair with a missing leg,when ur camera flips to selfie mode
a kid refusing to eat vegetables,when ur squad is online but u gotta sleep
a laptop covered in stickers,when ur dog chases its own existence
a person holding an umbrella inside out,when u realize pigeons dont pay rent
a car stuck in traffic,when u paid $5 for this fry
a man realizing he forgot his wallet,when ur camera flips to selfie mode
a cat sitting on an open book,when a cat fits it sits
a dog covered in mud,when ur printer hates u
a person wearing a mask,when a cat decides gravity is fake
a man trying to parallel park,when a cat decides gravity is fake
a person holding an umbrella inside out,when u realize pigeons dont pay rent
a laptop with 1 percent battery,when a cat decides gravity is fake
a cat sitting on an open book,when the jar lid says try harder
a gamer losing a match,when a toddler discovers permanent markers
a person carrying too many grocery bags,when u say one more episode but its 4 am
a woman trying to take a selfie with a dog,when a seagull steals ur lunch mid-bite
a person trying to open a jar,when ur cat thinks it's the CEO of ur work
a student falling asleep on their book,when ur squad is online but u gotta sleep
a cat sitting on an open book,when the wind disrespects ur umbrella
a long receipt from a grocery store,when ur gym flex goes wrong
a toddler covered in marker drawings,when the tea is too spicy
a group of people staring at a phone,when ur cat decides books are beds
a laptop with 1 percent battery,when ur printer hates u
a man looking at his phone,when ur cat thinks it's the CEO of ur work
a laptop with 1 percent battery,when u take one bite and ur burger self-destructs
a cat knocking over a glass,when u realize pigeons dont pay rent
a person wearing a mask,when ur printer hates u
a student falling asleep on their book,when ur cat decides books are beds
a person eating a giant burger,when putting on shoes turns into a full negotiation
a plate with a single french fry,when the grocery bill is longer than ur patience
a man realizing he forgot his wallet,when u wake up and forget where u are
a phone with a cracked screen,when the bus leaves 0.1 sec before u arrive
a gamer losing a match,when ur gym flex goes wrong
a dog covered in mud,when u drop ur phone but it lands screen down
a person running for the bus,when coffee betrays u first thing in the morning
a gamer sitting in a dark room,when putting on shoes turns into a full negotiation
a car stuck in traffic,when the jar lid says try harder
a person looking at an empty fridge,when u carry all the bags in one trip
a person trying to open a jar,when a bird judges ur life choices
a person trying to open a jar,when the bus leaves 0.1 sec before u arrive
a toddler covered in marker drawings,when the wind disrespects ur umbrella
a long receipt from a grocery store,when ur laptop becomes a sticker museum
a man trying to parallel park,when a cat fits it sits
a person holding an umbrella inside out,when the wind disrespects ur umbrella
a baby sleeping in a weird position,when the bus leaves 0.1 sec before u arrive
a man trying to parallel park,when the jar lid says try harder
a person trying to open a jar,when ur chair reminds u life is unstable
a student falling asleep on their book,when ur dog chases its own existence
a gamer losing a match,when lag ruins ur final boss fight
a printer with a paper jam,when ur laptop becomes a sticker museum
a student looking at a failed test,when u check ur wallet and its just air
a cat sitting on a laptop,when microwaving leftovers turns into a science experiment
a person struggling with tangled earphones,when ur printer hates u
a woman trying to take a selfie with a dog,when ur food senses a dog nearby
a laptop with 1 percent battery,when u prove physics wrong carrying groceries
a spilled cup of coffee,when ur earphones turn into spaghetti
a group of kids playing video games,when u enter a store but forgot ur mask
a person holding an umbrella inside out,when the squad assembles for gaming
a microwave with food exploded inside,when the squad assembles for gaming
a group of kids playing video games,when the wind disrespects ur umbrella
a group of kids playing video games,when putting on shoes turns into a full negotiation
a gamer losing a match,when ur squad is online but u gotta sleep
a laptop covered in stickers,when ur dog finds the only mud puddle
